L7	simpleHash
L202	setTypoField
L462	openDiagPanel
L532	_goOffline
L598	_onOnlineRetry
L693	uploadTrialBatch
L723	syncCardState
L1201	req.onerror
L1202	req.onblocked
L1222	req.onerror
L1239	tx.onerror
L1240	tx.onabort
L1250	tx.onerror
L1251	tx.onabort
L1266	idbClear
L1285	tx.onerror
L1286	tx.onabort
L1456	uploadAppEvent
L1531	cursorReq.onsuccess
L1597	getCardState
L1628	saveVoiceSlot
L1636	loadVoiceSlot
L1640	deleteVoiceSlot
L1644	loadAllVoiceSlots
L1684	req.onerror
L1725	getOrCreateCardState
L1931	difficultyScore
L1941	applyCurve
L2330	deleteCardStatesForDeck
L2417	getDeck
L2464	req.onerror
L2473	deleteMediaForDeck
L2484	checkMedia
L2536	cleanOrphanMedia
L2762	slotStorageKey
L2829	deleteDeck
L2863	renameDeck
L2886	startBrowse
L2894	_enterBrowse
L2905	_renderBrowseCard
L2940	browseNav
L2951	browseTTS
L2957	startQuiz
L2987	onAppModeToggle
L3056	onCardImageChange
L3077	onCardAudioChange
L3088	saveCardFromForm
L3189	openActionSheet
L3192	closeActionSheet
L3198	createEmptyDeck
L3211	importFromUrl
L3213	exportDeck
L3284	shareDeck
L3616	overlay.onclick
L3618	closeRegisterSheet
L3674	doResendVerification
L3689	overlay.onclick
L3691	closeResetRequestSheet
L3724	overlay.onclick
L4054	doDownloadPresetDeckAction
L4073	doSyncPresetDeckAction
L4081	showCloudDecks
L4151	doCloudDeckAction
L4174	doSyncDeckAction
L4191	toggleSyncJobPause
L4198	toggleDownloadPause
L4214	onAccountRealtimeToggle
L4293	onDdSwipeStart
L4303	onDdSwipeMove
L4314	onDdSwipeEnd
L4325	onDdSwipeCancel
L4330	closeOtherDdCardSwipe
L4337	renameCard
L4352	deleteCardFromDeck
L4368	showPromptDialog
L4513	formatFeedbackText
L4573	overlay.onclick
L6478	playVoiceSlot
L6509	speak
L6539	audio.onended
L6540	audio.onerror
L6560	speakSequence
L6574	speakOptHint
L6676	_img.onerror
L6718	btn.addEventListener.passive
L6860	revealBrowse
L6943	completeChain
L7069	triggerPlayAnswer
L7086	_onEncouragementDone
L7417	showRestToast
L7437	startNRing
L7521	forceRefresh
L7543	onFsChange
L7549	onLsChange
L7557	onBrowseAnsDelayChange
L7563	toggleConfetti
L7569	onPhraseChange
L7575	onQpDelayChange
L7579	onOhDelayChange
L7585	onDelayChange
L7591	onBrowseDelayChange
L7598	onTtsRateChange
L7604	onTtsPitchChange
L7610	onTtsVoiceChange
L7616	onVoiceMutedChange
L7622	onAnsReadDelayChange
L7629	openVoiceAssist
L7640	renderVoiceSlots
L7691	onSlotRowTap
L7713	toggleVaGroup
L7723	onVoiceAssistToggle
L7730	onOptReadDelayChange
L7737	updateVoiceAssistStatus
L7759	openRecordingOverlay
L7773	onRecScriptChange
L7777	closeRecordingOverlay
L7786	showTextEditOverlay
L7795	closeTextEditOverlay
L7801	saveTextEdit
L7807	_showRecState
L7813	toggleRecording
L7840	_onRecordingStopped
L7850	_stopRecordingCleanup
L7861	playRecordedPreview
L7869	resetRecording
L7875	saveVoiceRecording
L7908	onOptTouchDelayChange
L7915	onOptCount
L7921	onNdurChange
L7927	onBdurChange
L8177	syncDeckFromCloud
L8374	rollbackUploadedSlots
L8444	cancel
L8760	parseWatermark
L9025	openSettings
L9033	closeSettings
L9041	toggleTheme
L9047	setTheme
L9058	setThemeValue
L9305	renderStatsDeck
L9383	renderStatsCards
L9466	filterCards
L9473	renderStatsTrials
L9504	openCardDetail
L9600	closeCardDetail
L9605	confirmResetCard
L9617	unsuspendCard
L9639	onSrsSlider
L9648	onSrsStepsInput
L9681	onSrsLearnAheadInput
L9716	applySrsPreset
L9871	grid.addEventListener.passive
L9893	onDeckClick
L9901	onSwipeTouchStart
L9915	onSwipeTouchMove
L9930	onSwipeTouchEnd
L9949	onSwipeTouchCancel
L9955	closeAllSwipedCards
L9958	closeOtherSwipeCards
L9964	getTranslateX
L9974	sourceIcon
L10020	mask.querySelector.onclick
L10023	mask.onclick
